item_id,variant,method,prediction,correct,confidence,popularity
0,balanced,majority,external,1,0.5,127
0,balanced,weighted_pool,external,1,0.5573907590757107,127
0,balanced,dst,external,1,0.6592587913921757,127
0,balanced,dst_provenance,external,1,0.6592587913921757,127
0,balanced,dsmt_pcr6,external,1,0.6092000268900062,127
0,balanced,dsmt_pcr6_provenance,external,1,0.6092000268900062,127
0,memory_repeat_x3,majority,memory,0,0.8,127
0,memory_repeat_x3,weighted_pool,memory,0,0.7605532601820909,127
0,memory_repeat_x3,dst,memory,0,0.9225661549711469,127
0,memory_repeat_x3,dst_provenance,external,1,0.6592587913921757,127
0,memory_repeat_x3,dsmt_pcr6,memory,0,0.6977285356252014,127
0,memory_repeat_x3,dsmt_pcr6_provenance,external,1,0.6181908082215231,127
0,independent_memory_x3,majority,memory,0,0.8,127
0,independent_memory_x3,weighted_pool,memory,0,0.7605532601820909,127
0,independent_memory_x3,dst,memory,0,0.9225661549711469,127
0,independent_memory_x3,dst_provenance,memory,0,0.9225661549711469,127
0,independent_memory_x3,dsmt_pcr6,memory,0,0.6977285356252014,127
0,independent_memory_x3,dsmt_pcr6_provenance,memory,0,0.6977285356252014,127
0,external_repeat_x3,majority,external,1,0.8,127
0,external_repeat_x3,weighted_pool,external,1,0.8343635084098779,127
0,external_repeat_x3,dst,external,1,0.9955325070690069,127
0,external_repeat_x3,dst_provenance,external,1,0.6592587913921755,127
0,external_repeat_x3,dsmt_pcr6,external,1,0.8568557113876295,127
0,external_repeat_x3,dsmt_pcr6_provenance,external,1,0.574010845262293,127
1,balanced,majority,external,1,0.5,317
1,balanced,weighted_pool,external,1,0.5614151802969262,317
1,balanced,dst,external,1,0.6908277825402926,317
1,balanced,dst_provenance,external,1,0.6908277825402926,317
1,balanced,dsmt_pcr6,external,1,0.622433810312936,317
1,balanced,dsmt_pcr6_provenance,external,1,0.622433810312936,317
1,memory_repeat_x3,majority,memory,0,0.8,317
1,memory_repeat_x3,weighted_pool,memory,0,0.7575670520298252,317
1,memory_repeat_x3,dst,memory,0,0.9220814852847288,317
1,memory_repeat_x3,dst_provenance,external,1,0.6908277825402926,317
1,memory_repeat_x3,dsmt_pcr6,memory,0,0.6900836767239101,317
1,memory_repeat_x3,dsmt_pcr6_provenance,external,1,0.6312619105492764,317
1,independent_memory_x3,majority,memory,0,0.8,317
1,independent_memory_x3,weighted_pool,memory,0,0.7575670520298252,317
